class,superclass,class_uri,superclass_uri
AdoptiveEmperors,Emperor,https://www.wikidata.org/wiki/Q110418817,https://www.wikidata.org/wiki/Q39018
AnimalRestraints,Tools,https://www.wikidata.org/wiki/Q357003,https://www.wikidata.org/wiki/Q39546
AntonineDynasty,Emperor,https://www.wikidata.org/wiki/Q3291176,https://www.wikidata.org/wiki/Q39018
ArchitecturalElements,Architecture,https://www.wikidata.org/wiki/Q391414,https://www.wikidata.org/wiki/Q12271
ArchitecturalOrnaments,ArchitecturalElements,https://www.wikidata.org/wiki/Q56061392,https://www.wikidata.org/wiki/Q391414
Architecture,cnt:Object,https://www.wikidata.org/wiki/Q12271,https://www.wikidata.org/wiki/Q488383
ArgeadDynasty,Hellenistic,https://www.wikidata.org/wiki/Q538849,https://www.wikidata.org/wiki/Q428995
Armour,Clothing,https://www.wikidata.org/wiki/Q20793164,https://www.wikidata.org/wiki/Q11460
Arms,cnt:Object,https://www.wikidata.org/wiki/Q728,https://www.wikidata.org/wiki/Q488383
Astrological,cnt:Object,https://www.wikidata.org/wiki/Q3174349,https://www.wikidata.org/wiki/Q488383
Ax,Arms,https://www.wikidata.org/wiki/Q39397,https://www.wikidata.org/wiki/Q728
Bar,cnt:Object,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bar_object,https://www.wikidata.org/wiki/Q488383
Barbarian,Human,https://www.wikidata.org/wiki/Q134313,https://www.wikidata.org/wiki/Q5
BarracksEmperors,Emperor,https://www.wikidata.org/wiki/Q129167,https://www.wikidata.org/wiki/Q39018
Bird,cnt:Animal,https://www.wikidata.org/wiki/Q5113,https://www.wikidata.org/wiki/Q729
BodyParts,cnt:Object,https://www.wikidata.org/wiki/Q16457828,https://www.wikidata.org/wiki/Q488383
Branches,cnt:Plant,https://www.wikidata.org/wiki/Q2923673,https://www.wikidata.org/wiki/Q756
Bush,cnt:Plant,https://www.wikidata.org/wiki/Q42295,https://www.wikidata.org/wiki/Q756
CanianDynasty,King,http://www.dbis.cs.uni-frankfurt.de/cnt/id/caniandynasty_person,https://www.wikidata.org/wiki/Q116
Cereal-Grain,cnt:Plant,https://www.wikidata.org/wiki/Q12117,https://www.wikidata.org/wiki/Q756
CityFounder,Heroes,https://www.wikidata.org/wiki/Q88208710,https://www.wikidata.org/wiki/Q162244
CivicInstitutions,foaf:Person,http://www.dbis.cs.uni-frankfurt.de/cnt/id/civicinstitutions_person,http://xmlns.com/foaf/0.1/#term_Person
Clothing,cnt:Object,https://www.wikidata.org/wiki/Q11460,https://www.wikidata.org/wiki/Q488383
ConstantinianDynasty,Emperor,https://www.wikidata.org/wiki/Q175454,https://www.wikidata.org/wiki/Q39018
Crown,Ornaments,https://www.wikidata.org/wiki/Q170984,https://www.wikidata.org/wiki/Q18358253
Deities,foaf:Person,https://www.wikidata.org/wiki/Q178885,http://xmlns.com/foaf/0.1/#term_Person
Egyptian,foaf:Person,https://www.wikidata.org/wiki/Q202311,http://xmlns.com/foaf/0.1/#term_Person
Emperor,Human,https://www.wikidata.org/wiki/Q39018,https://www.wikidata.org/wiki/Q5
EmperorsFamily,Human,https://www.wikidata.org/wiki/Q10948083,https://www.wikidata.org/wiki/Q5
Female,foaf:Person,https://www.wikidata.org/wiki/Q467,http://xmlns.com/foaf/0.1/#term_Person
Fish,cnt:Animal,https://www.wikidata.org/wiki/Q152,https://www.wikidata.org/wiki/Q729
FlavianDynasty,Emperor,https://www.wikidata.org/wiki/Q200565,https://www.wikidata.org/wiki/Q39018
Flower,cnt:Plant,https://www.wikidata.org/wiki/Q886167,https://www.wikidata.org/wiki/Q756
Fruit,cnt:Plant,https://www.wikidata.org/wiki/Q1364,https://www.wikidata.org/wiki/Q756
GameObjects,cnt:Object,http://www.dbis.cs.uni-frankfurt.de/cnt/id/gameobjects_object,https://www.wikidata.org/wiki/Q488383
Gate,Architecture,https://www.wikidata.org/wiki/Q53060,https://www.wikidata.org/wiki/Q12271
General,Human,https://www.wikidata.org/wiki/Q83460,https://www.wikidata.org/wiki/Q5
GordianDynasty,BarracksEmperors,https://www.wikidata.org/wiki/Q48981450,https://www.wikidata.org/wiki/Q129167
Grass,cnt:Plant,https://www.wikidata.org/wiki/Q643352,https://www.wikidata.org/wiki/Q756
Greek,foaf:Person,https://www.wikidata.org/wiki/Q11772,http://xmlns.com/foaf/0.1/#term_Person
Greek-Roman,foaf:Person,http://www.dbis.cs.uni-frankfurt.de/cnt/id/greek-roman_person,http://xmlns.com/foaf/0.1/#term_Person
Harness,AnimalRestraints,https://www.wikidata.org/wiki/Q111254017,https://www.wikidata.org/wiki/Q357003
Head,BodyParts,https://www.wikidata.org/wiki/Q23640,https://www.wikidata.org/wiki/Q16457828
Headdress,Clothing,https://www.wikidata.org/wiki/Q28972621,https://www.wikidata.org/wiki/Q11460
