value,link
"allis shad",https://www.wikidata.org/wiki/Q300997
animal,https://www.wikidata.org/wiki/Q729
animals,https://www.wikidata.org/wiki/Q729
"Apis bull",https://www.wikidata.org/wiki/Q208150
bear,https://www.wikidata.org/wiki/Q30090244
bears,https://www.wikidata.org/wiki/Q30090244
bee,https://www.wikidata.org/wiki/Q7391
bees,https://www.wikidata.org/wiki/Q7391
bird,https://www.wikidata.org/wiki/Q5113
birds,https://www.wikidata.org/wiki/Q5113
boar,https://www.wikidata.org/wiki/Q58697
boars,https://www.wikidata.org/wiki/Q58697
bull,https://www.wikidata.org/wiki/Q693690
bulls,https://www.wikidata.org/wiki/Q693690
capricorn,https://www.wikidata.org/wiki/Q164272
capricorns,https://www.wikidata.org/wiki/Q164272
cattle,https://www.wikidata.org/wiki/Q830
cattles,https://www.wikidata.org/wiki/Q830
Cerberus,https://www.wikidata.org/wiki/Q83496
"Ceryneian Hind",https://www.wikidata.org/wiki/Q466882
Cetus,https://www.wikidata.org/wiki/Q3269950
cicada,https://www.wikidata.org/wiki/Q18347690
cicadas,https://www.wikidata.org/wiki/Q18347690
cock,https://www.wikidata.org/wiki/Q2216236
cockerel,https://www.wikidata.org/wiki/Q2216236
cockerels,https://www.wikidata.org/wiki/Q2216236
cocks,https://www.wikidata.org/wiki/Q2216236
crab,https://www.wikidata.org/wiki/Q16033394
crabs,https://www.wikidata.org/wiki/Q16033394
crayfish,https://www.wikidata.org/wiki/Q1211742
"Cretan Bull",https://www.wikidata.org/wiki/Q746198
cuttlefish,https://www.wikidata.org/wiki/Q81900
deer,https://www.wikidata.org/wiki/Q23390
doe,https://www.wikidata.org/wiki/Q29838920
does,https://www.wikidata.org/wiki/Q29838920
dog,https://www.wikidata.org/wiki/Q144
dogs,https://www.wikidata.org/wiki/Q144
dolphin,https://www.wikidata.org/wiki/Q7369
dolphins,https://www.wikidata.org/wiki/Q7369
donkey,https://www.wikidata.org/wiki/Q3537778
duck,https://www.wikidata.org/wiki/Q3736439
eagle,https://www.wikidata.org/wiki/Q2092297
eagles,https://www.wikidata.org/wiki/Q2092297
elephant,https://www.wikidata.org/wiki/Q7378
elephants,https://www.wikidata.org/wiki/Q7378
"Erymanthian Boar",https://www.wikidata.org/wiki/Q334456
fish,https://www.wikidata.org/wiki/Q152
fishes,https://www.wikidata.org/wiki/Q152
flies,https://www.wikidata.org/wiki/Q859257
fly,https://www.wikidata.org/wiki/Q859257
fox,https://www.wikidata.org/wiki/Q8331
foxes,https://www.wikidata.org/wiki/Q8331
goat,https://www.wikidata.org/wiki/Q2934
goats,https://www.wikidata.org/wiki/Q2934
griffin,https://www.wikidata.org/wiki/Q130223
griffins,https://www.wikidata.org/wiki/Q130223
he-goat,https://www.wikidata.org/wiki/Q2934
he-goats,https://www.wikidata.org/wiki/Q2934
hind,https://www.wikidata.org/wiki/Q29838920
hinds,https://www.wikidata.org/wiki/Q29838920
hippocamp,https://www.wikidata.org/wiki/Q74363
hippocampi,https://www.wikidata.org/wiki/Q74363
hippocampus,https://www.wikidata.org/wiki/Q74363
hippopotami,https://www.wikidata.org/wiki/Q34505
hippopotamus,https://www.wikidata.org/wiki/Q34505
horse,https://www.wikidata.org/wiki/Q726
horseback,https://www.wikidata.org/wiki/Q726
horses,https://www.wikidata.org/wiki/Q726
hound,https://www.wikidata.org/wiki/Q38923
hounds,https://www.wikidata.org/wiki/Q38923
hydra,https://www.wikidata.org/wiki/Q170379
hydrai,https://www.wikidata.org/wiki/Q170379
ibis,https://www.wikidata.org/wiki/Q193833
ibises,https://www.wikidata.org/wiki/Q193833
Ladon,https://www.wikidata.org/wiki/Q274600
lion,https://www.wikidata.org/wiki/Q140
lions,https://www.wikidata.org/wiki/Q140
lizard,https://www.wikidata.org/wiki/Q15629245
lizards,https://www.wikidata.org/wiki/Q15629245
"Nemean Lion",https://www.wikidata.org/wiki/Q199438
octopus,https://www.wikidata.org/wiki/Q611843
ostrich,https://www.wikidata.org/wiki/Q17592
ostriches,https://www.wikidata.org/wiki/Q17592
owl,https://www.wikidata.org/wiki/Q8021345
owls,https://www.wikidata.org/wiki/Q8021345
ox,https://www.wikidata.org/wiki/Q473194
oxes,https://www.wikidata.org/wiki/Q473194
panther,https://www.wikidata.org/wiki/Q659549
panthers,https://www.wikidata.org/wiki/Q659549
peacock,https://www.wikidata.org/wiki/Q201251
peacocks,https://www.wikidata.org/wiki/Q201251
Pegasos,https://www.britishmuseum.org/collection/term/BIOG59743
Pegasus,https://www.britishmuseum.org/collection/term/BIOG59743
pig,https://www.wikidata.org/wiki/Q787
piglet,https://www.wikidata.org/wiki/Q787
piglets,https://www.wikidata.org/wiki/Q787
pigs,https://www.wikidata.org/wiki/Q787
ram,https://www.wikidata.org/wiki/Q2929800
rams,https://www.wikidata.org/wiki/Q2929800
raven,https://www.wikidata.org/wiki/Q8335
ravens,https://www.wikidata.org/wiki/Q8335
roe,https://www.wikidata.org/wiki/Q122069
roes,https://www.wikidata.org/wiki/Q122069
rooster,https://www.wikidata.org/wiki/Q2216236
roosters,https://www.wikidata.org/wiki/Q2216236
scallop,https://www.wikidata.org/wiki/Q7360490
"scallop shell",https://www.wikidata.org/wiki/Q7360490
scallops,https://www.wikidata.org/wiki/Q7360490
scorpion,https://www.wikidata.org/wiki/Q19125
scorpions,https://www.wikidata.org/wiki/Q19125
serpent,https://www.wikidata.org/wiki/Q2102
serpents,https://www.wikidata.org/wiki/Q2102
she-wolf,https://www.wikidata.org/wiki/Q28136294
she-wolves,https://www.wikidata.org/wiki/Q28136294
shell,https://www.wikidata.org/wiki/Q213096
shells,https://www.wikidata.org/wiki/Q213096
snake,https://www.wikidata.org/wiki/Q2102
snakes,https://www.wikidata.org/wiki/Q2102
sphinges,https://www.wikidata.org/wiki/Q9335858
sphinx,https://www.wikidata.org/wiki/Q9335858
sphinxes,https://www.wikidata.org/wiki/Q9335858
squid,https://www.wikidata.org/wiki/Q81900
squids,https://www.wikidata.org/wiki/Q81900
