id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
1,abacus,Abacus,"aus OCRE",abaci,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q12806,Tools,NULL,NULL
2,acrostolium,Acrostolium,"aus OCRE",acrostolia," Akrostolium, Acrostoila",NULL,NULL,https://www.wikidata.org/wiki/Q65064029,NauticalObject,Ship,ShipPart
3,acroteria,Akroterie,"Architektur zur Dachbekrönung","akroterion, acroterion,  akroteria","Akroterion,  Akroter",NULL,NULL,https://www.wikidata.org/wiki/Q421214,Architecture,ArchitecturalElements,NULL
4,aegis,Ägide,"Rüstung der Athena"," ägis, aigis"," Ägis, Aigis",NULL,Agide,https://www.wikidata.org/wiki/Q190662,Clothing,Armour,NULL
5,"agonistic crown","agonistische Krone",NULL,"agonistic crowns",,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/agonistic_crown_object,Ornaments,Crown,NULL
6,altar,Altar,NULL,altars,,NULL,NULL,https://www.wikidata.org/wiki/Q101687,Architecture,NULL,NULL
7,amphora,Amphora,Aufbewahrungsgefäß,"amphorae, amphoras",Amphoren,NULL,NULL,https://www.wikidata.org/wiki/Q178401,Vessel-Jar,NULL,NULL
8,anchor,Anker,NULL,anchors,,NULL,NULL,https://www.wikidata.org/wiki/Q168432,NauticalObject,Ship,ShipPart
9,antefix,Antefix,Stirnziegel,antefixa,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q571723,Architecture,ArchitecturalElements,NULL
10,antlers,Geweih,NULL,NULL,,NULL,NULL,https://www.wikidata.org/wiki/Q834007,Ornaments,NULL,NULL
11,aplustre,Aphlaston,"verzierter Vorderteil eines Schiffes",aplustres,Schiffshinterdeck,NULL,NULL,https://www.wikidata.org/wiki/Q111995878,NauticalObject,Ship,ShipPart
12,aquila,Aquila,"aus OCRE",aquilae,,NULL,NULL,https://www.wikidata.org/wiki/Q3532405,Ornaments,NULL,NULL
13,arch,Bogen,NULL,arches,,NULL,NULL,https://www.wikidata.org/wiki/Q12277,Architecture,ArchitecturalElements,NULL
14,armour,Rüstung,NULL,armor,,NULL,NULL,https://www.wikidata.org/wiki/Q20793164,Clothing,NULL,NULL
15,arrow,Pfeil,NULL,arrows,,NULL,NULL,https://www.wikidata.org/wiki/Q45922,Arms,NULL,NULL
16,astragal,Astragal,Wüfelknöchelchen,"astagaloi, astragals, astragalus",,NULL,NULL,https://www.wikidata.org/wiki/Q20452,GameObjects,NULL,NULL
17,"Augean Stables","Ställe des Augias",NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q3088950,Architecture,NULL,NULL
18,aulos,Aulos,Doppelflöte,auloi,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q324299,MusicalInstruments,NULL,NULL
19,ax,Axt,NULL,"axe, axes",,NULL,NULL,https://www.wikidata.org/wiki/Q39397,Arms,Ax,NULL
20,baetyl,Baitylos,NULL,baetylus,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q664990,Statues,NULL,NULL
21,bag,Tasche,"aus OCRE",bags,,NULL,NULL,https://www.wikidata.org/wiki/Q1323314,Vessel-Jar,NULL,NULL
22,band,Band,NULL,bands,,NULL,NULL,https://www.wikidata.org/wiki/Q6918773,Ornaments,NULL,NULL
23,banner,Banner,"aus OCRE",banners,,NULL,NULL,https://www.wikidata.org/wiki/Q806880,Ornaments,NULL,NULL
24,bar,Balken,"aus OCRE",bars,,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bar_object,Bar,NULL,NULL
25,base,Basis,NULL,bases,,NULL,NULL,https://www.wikidata.org/wiki/Q82383,Architecture,ArchitecturalElements,NULL
26,basin,Wasserbecken,NULL,NULL,Louterion,NULL,NULL,https://www.wikidata.org/wiki/Q1877790,Vessel-Jar,NULL,NULL
27,basket,Korb,NULL,baskets,,NULL,NULL,https://www.wikidata.org/wiki/Q201097,Vessel-Jar,NULL,NULL
28,baton,Taktstock,"aus OCRE",batons,,NULL,NULL,https://www.wikidata.org/wiki/Q2014830,Bar,NULL,NULL
29,"beaded ribbon",Perlenband,NULL,"beaded ribbons",,NULL,NULL,https://www.wikidata.org/wiki/Q6918773,Ornaments,NULL,NULL
30,beehive,Bienenstock,NULL,beehives,,NULL,Bienestöcke,https://www.wikidata.org/wiki/Q165107,Vessel-Jar,NULL,NULL
31,biga,Biga,"Streitwagen mit zwei Pferden",bigae,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1132651,VehicelObjects,NULL,NULL
32,bipennis,Bipennis,"aus OCRE",NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q837381,Arms,Ax,NULL
33,bisellium,Bisellium,"aus OCRE",bisellia,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q23830025,Interieur-Furniture,NULL,NULL
