value,link
abaci,https://www.wikidata.org/wiki/Q12806
abacus,https://www.wikidata.org/wiki/Q12806
acrostolia,https://www.wikidata.org/wiki/Q65064029
acrostolium,https://www.wikidata.org/wiki/Q65064029
acroteria,https://www.wikidata.org/wiki/Q421214
acroterion,https://www.wikidata.org/wiki/Q421214
aegis,https://www.wikidata.org/wiki/Q190662
ägis,https://www.wikidata.org/wiki/Q190662
"agonistic crown",http://www.dbis.cs.uni-frankfurt.de/cnt/id/agonistic_crown_object
"agonistic crowns",http://www.dbis.cs.uni-frankfurt.de/cnt/id/agonistic_crown_object
aigis,https://www.wikidata.org/wiki/Q190662
akroteria,https://www.wikidata.org/wiki/Q421214
akroterion,https://www.wikidata.org/wiki/Q421214
altar,https://www.wikidata.org/wiki/Q101687
altars,https://www.wikidata.org/wiki/Q101687
amphora,https://www.wikidata.org/wiki/Q178401
amphorae,https://www.wikidata.org/wiki/Q178401
amphoras,https://www.wikidata.org/wiki/Q178401
anchor,https://www.wikidata.org/wiki/Q168432
anchors,https://www.wikidata.org/wiki/Q168432
antefix,https://www.wikidata.org/wiki/Q571723
antefixa,https://www.wikidata.org/wiki/Q571723
antlers,https://www.wikidata.org/wiki/Q834007
anvil,https://www.wikidata.org/wiki/Q104363
anvils,https://www.wikidata.org/wiki/Q104363
aplustre,https://www.wikidata.org/wiki/Q111995878
aplustres,https://www.wikidata.org/wiki/Q111995878
aquila,https://www.wikidata.org/wiki/Q3532405
aquilae,https://www.wikidata.org/wiki/Q3532405
arch,https://www.wikidata.org/wiki/Q12277
arches,https://www.wikidata.org/wiki/Q12277
arm,https://www.wikidata.org/wiki/Q43471
armor,https://www.wikidata.org/wiki/Q20793164
armour,https://www.wikidata.org/wiki/Q20793164
arms,https://www.wikidata.org/wiki/Q43471
arrow,https://www.wikidata.org/wiki/Q45922
arrows,https://www.wikidata.org/wiki/Q45922
astagaloi,https://www.wikidata.org/wiki/Q20452
astragal,https://www.wikidata.org/wiki/Q20452
astragals,https://www.wikidata.org/wiki/Q20452
astragalus,https://www.wikidata.org/wiki/Q20452
"Augean Stables",https://www.wikidata.org/wiki/Q3088950
auloi,https://www.wikidata.org/wiki/Q324299
aulos,https://www.wikidata.org/wiki/Q324299
ax,https://www.wikidata.org/wiki/Q39397
axe,https://www.wikidata.org/wiki/Q39397
axes,https://www.wikidata.org/wiki/Q39397
baetyl,https://www.wikidata.org/wiki/Q664990
baetylus,https://www.wikidata.org/wiki/Q664990
bag,https://www.wikidata.org/wiki/Q1323314
bags,https://www.wikidata.org/wiki/Q1323314
band,https://www.wikidata.org/wiki/Q6918773
bands,https://www.wikidata.org/wiki/Q6918773
banner,https://www.wikidata.org/wiki/Q806880
banners,https://www.wikidata.org/wiki/Q806880
bar,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bar_object
bars,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bar_object
base,https://www.wikidata.org/wiki/Q82383
bases,https://www.wikidata.org/wiki/Q82383
basin,https://www.wikidata.org/wiki/Q1877790
basket,https://www.wikidata.org/wiki/Q201097
baskets,https://www.wikidata.org/wiki/Q201097
baton,https://www.wikidata.org/wiki/Q2014830
batons,https://www.wikidata.org/wiki/Q2014830
"beaded ribbon",https://www.wikidata.org/wiki/Q6918773
"beaded ribbons",https://www.wikidata.org/wiki/Q6918773
beehive,https://www.wikidata.org/wiki/Q165107
beehives,https://www.wikidata.org/wiki/Q165107
belt,https://www.wikidata.org/wiki/Q134560
belted,https://www.wikidata.org/wiki/Q134560
belts,https://www.wikidata.org/wiki/Q134560
biga,https://www.wikidata.org/wiki/Q1132651
bigae,https://www.wikidata.org/wiki/Q1132651
bipennis,https://www.wikidata.org/wiki/Q837381
bisellia,https://www.wikidata.org/wiki/Q23830025
bisellium,https://www.wikidata.org/wiki/Q23830025
blade,https://www.wikidata.org/wiki/Q330946
blades,https://www.wikidata.org/wiki/Q330946
board,https://www.wikidata.org/wiki/Q72926076
boards,https://www.wikidata.org/wiki/Q72926076
bone,https://www.wikidata.org/wiki/Q265868
bones,https://www.wikidata.org/wiki/Q265868
boot,https://www.wikidata.org/wiki/Q190868
boots,https://www.wikidata.org/wiki/Q190868
bow,https://www.wikidata.org/wiki/Q46311
bows,https://www.wikidata.org/wiki/Q46311
box,https://www.wikidata.org/wiki/Q188075
boxes,https://www.wikidata.org/wiki/Q188075
branch,https://www.wikidata.org/wiki/Q2923673
branches,https://www.wikidata.org/wiki/Q2923673
breast,https://www.wikidata.org/wiki/Q9103
breasts,https://www.wikidata.org/wiki/Q9103
bridle,https://www.wikidata.org/wiki/Q148558
bridles,https://www.wikidata.org/wiki/Q148558
bucket,https://www.wikidata.org/wiki/Q47107
buckets,https://www.wikidata.org/wiki/Q47107
bucrania,https://www.wikidata.org/wiki/Q1003461
bucranion,https://www.wikidata.org/wiki/Q1003461
bucranium,https://www.wikidata.org/wiki/Q1003461
bukephalia,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bukephalion_object
bukephalion,http://www.dbis.cs.uni-frankfurt.de/cnt/id/bukephalion_object
bun,https://www.wikidata.org/wiki/Q15240969
buns,https://www.wikidata.org/wiki/Q15240969
bust,https://www.wikidata.org/wiki/Q17489160
busts,https://www.wikidata.org/wiki/Q17489160
cadeceus,https://www.wikidata.org/wiki/Q238577
caduceus,https://www.wikidata.org/wiki/Q238577
calathos,https://www.wikidata.org/wiki/Q492461
canthari,https://www.wikidata.org/wiki/Q755706
cantharoi,https://www.wikidata.org/wiki/Q755706
cantharos,https://www.wikidata.org/wiki/Q755706
cantharus,https://www.wikidata.org/wiki/Q755706
cap,https://www.wikidata.org/wiki/Q6147804
capricorn,https://www.wikidata.org/wiki/Q164272
capricorns,https://www.wikidata.org/wiki/Q164272
caps,https://www.wikidata.org/wiki/Q6147804
catapult,https://www.wikidata.org/wiki/Q184393
catapults,https://www.wikidata.org/wiki/Q184393
cesti,https://www.wikidata.org/wiki/Q1057669
cestus,https://www.wikidata.org/wiki/Q1057669
chain,https://www.wikidata.org/wiki/Q2397485
chained,https://www.wikidata.org/wiki/Q2397485
chains,https://www.wikidata.org/wiki/Q2397485
chair,https://www.wikidata.org/wiki/Q15026
chairs,https://www.wikidata.org/wiki/Q15026
chalice,https://www.wikidata.org/wiki/Q98969284
chalices,https://www.wikidata.org/wiki/Q98969284
chest,https://www.wikidata.org/wiki/Q867621
Chi-Rho,https://www.wikidata.org/wiki/Q151970
chin,https://www.wikidata.org/wiki/Q82714
chins,https://www.wikidata.org/wiki/Q82714
chiton,https://www.wikidata.org/wiki/Q944031
chitons,https://www.wikidata.org/wiki/Q944031
chlamoi,https://www.wikidata.org/wiki/Q1075155
chlamys,https://www.wikidata.org/wiki/Q1075155
cippi,http://www.dbis.cs.uni-frankfurt.de/cnt/id/cippus_object
cippus,http://www.dbis.cs.uni-frankfurt.de/cnt/id/cippus_object
cist,https://www.wikidata.org/wiki/Q867621
cista,https://www.wikidata.org/wiki/Q867621
"cista mystica",https://www.wikidata.org/wiki/Q17438669
cistae,https://www.wikidata.org/wiki/Q867621
"cistae mysticae",https://www.wikidata.org/wiki/Q17438669
cithara,https://www.wikidata.org/wiki/Q12634515
"city gate",https://www.wikidata.org/wiki/Q82117
"city gates",https://www.wikidata.org/wiki/Q82117
"city wall",https://www.wikidata.org/wiki/Q16748868
"city walls",https://www.wikidata.org/wiki/Q16748868
claw,https://www.wikidata.org/wiki/Q217605
claws,https://www.wikidata.org/wiki/Q217605
cloak,https://www.wikidata.org/wiki/Q516992
cloaks,https://www.wikidata.org/wiki/Q516992
cloth,https://www.wikidata.org/wiki/Q5849500
clothes,https://www.wikidata.org/wiki/Q5849500
club,https://www.wikidata.org/wiki/Q392326
clubs,https://www.wikidata.org/wiki/Q392326
coat,https://www.wikidata.org/wiki/Q152574
coats,https://www.wikidata.org/wiki/Q152574
coil,https://www.wikidata.org/wiki/Q25629903
coils,https://www.wikidata.org/wiki/Q25629903
Coliseum,https://www.wikidata.org/wiki/Q10285
collar,https://www.wikidata.org/wiki/Q497903
collars,https://www.wikidata.org/wiki/Q497903
colonnaded,https://www.wikidata.org/wiki/Q4817
Colosseum,https://www.wikidata.org/wiki/Q10285
column,https://www.wikidata.org/wiki/Q4817
columned,https://www.wikidata.org/wiki/Q4817
columns,https://www.wikidata.org/wiki/Q4817
compass,https://www.wikidata.org/wiki/Q103896
compasses,https://www.wikidata.org/wiki/Q103896
"Corinthian helm",https://www.wikidata.org/wiki/Q173603
"corn wreath",https://www.wikidata.org/wiki/Q254608
"corn wreaths",https://www.wikidata.org/wiki/Q254608
cornucopia,https://www.wikidata.org/wiki/Q332682
cornucopiae,https://www.wikidata.org/wiki/Q332682
cotyle,https://www.wikidata.org/wiki/Q2559410
cotyles,https://www.wikidata.org/wiki/Q2559410
"crab claw",https://www.wikidata.org/wiki/Q1069045
"crab claws",https://www.wikidata.org/wiki/Q1069045
crater,https://www.wikidata.org/wiki/Q476968
craters,https://www.wikidata.org/wiki/Q476968
crepidoma,https://www.wikidata.org/wiki/Q743919
crepidomae,https://www.wikidata.org/wiki/Q743919
crescent,https://www.wikidata.org/wiki/Q5488888
crescents,https://www.wikidata.org/wiki/Q5488888
crook,https://www.wikidata.org/wiki/Q506002
cross,https://www.wikidata.org/wiki/Q40843
crosses,https://www.wikidata.org/wiki/Q40843
crown,https://www.wikidata.org/wiki/Q170984
"crown juwel",https://www.wikidata.org/wiki/Q298742
crowns,https://www.wikidata.org/wiki/Q170984
"crowns jewels",https://www.wikidata.org/wiki/Q298742
"cubit role",https://www.wikidata.org/wiki/Q6502030
cubit-rule,https://www.wikidata.org/wiki/Q6502030
cuirass,https://www.wikidata.org/wiki/Q182731
cuirassed,https://www.wikidata.org/wiki/Q182731
cup,https://www.wikidata.org/wiki/Q81727
cups,https://www.wikidata.org/wiki/Q81727
dagger,https://www.wikidata.org/wiki/Q182780
daggers,https://www.wikidata.org/wiki/Q182780
diadem,https://www.wikidata.org/wiki/Q746591
diademed,https://www.wikidata.org/wiki/Q746591
diadems,https://www.wikidata.org/wiki/Q746591
disc,https://www.wikidata.org/wiki/Q12346540
discs,https://www.wikidata.org/wiki/Q12346540
discus,https://www.wikidata.org/wiki/Q1228822
disk,https://www.wikidata.org/wiki/Q12346540
disks,https://www.wikidata.org/wiki/Q12346540
distaff,https://www.wikidata.org/wiki/Q962104
distaffs,https://www.wikidata.org/wiki/Q962104
door,https://www.wikidata.org/wiki/Q36794
doored,https://www.wikidata.org/wiki/Q36794
doors,https://www.wikidata.org/wiki/Q36794
"double ax",https://www.wikidata.org/wiki/Q39397
"double axes",https://www.wikidata.org/wiki/Q39397
"double chiton",https://www.wikidata.org/wiki/Q944031
"double chitons",https://www.wikidata.org/wiki/Q944031
"double spear",https://www.wikidata.org/wiki/Q44475
"double spears",https://www.wikidata.org/wiki/Q44475
draped,https://www.wikidata.org/wiki/Q19708955
draperies,https://www.wikidata.org/wiki/Q3039121
drapery,https://www.wikidata.org/wiki/Q3039121
drum,https://www.wikidata.org/wiki/Q11404
drums,https://www.wikidata.org/wiki/Q11404
dsicusses,https://www.wikidata.org/wiki/Q1228822
eagle-sceptre,https://www.wikidata.org/wiki/Q152065
eagle-sceptres,https://www.wikidata.org/wiki/Q152065
earring,https://www.wikidata.org/wiki/Q168456
earrings,https://www.wikidata.org/wiki/Q168456
ensign,https://www.wikidata.org/wiki/Q19912730
ensigns,https://www.wikidata.org/wiki/Q19912730
enthroned,https://www.wikidata.org/wiki/Q189233
eye,https://www.wikidata.org/wiki/Q7364
eyes,https://www.wikidata.org/wiki/Q7364
falcata,https://www.wikidata.org/wiki/Q1059687
feather,https://www.wikidata.org/wiki/Q81025
feathered,https://www.wikidata.org/wiki/Q81025
feathers,https://www.wikidata.org/wiki/Q81025
feet,https://www.wikidata.org/wiki/Q15807
"fibula ",https://www.wikidata.org/wiki/Q324926
fillet,https://www.wikidata.org/wiki/Q5448807
fillets,https://www.wikidata.org/wiki/Q5448807
foot,https://www.wikidata.org/wiki/Q15807
footrest,https://www.wikidata.org/wiki/Q14973416
footrests,https://www.wikidata.org/wiki/Q14973416
forepart,https://www.wikidata.org/wiki/Q2113757
"forepart of prancing horse",https://www.wikidata.org/wiki/Q2113757
foreparts,https://www.wikidata.org/wiki/Q2113757
galley,https://www.wikidata.org/wiki/Q188924
galleys,https://www.wikidata.org/wiki/Q188924
garland,https://www.wikidata.org/wiki/Q756600
garlanded,https://www.wikidata.org/wiki/Q756600
garlands,https://www.wikidata.org/wiki/Q756600
garment,https://www.wikidata.org/wiki/Q11460
garments,https://www.wikidata.org/wiki/Q11460
gate,https://www.wikidata.org/wiki/Q53060
gates,https://www.wikidata.org/wiki/Q53060
globe,https://www.wikidata.org/wiki/Q133792
globes,https://www.wikidata.org/wiki/Q133792
