id,name,name_german,description,alternativenames,typos,link,related,cnt_PersonID,Cat_I,Cat_II,Cat_III,Cat_IV,Cat_V
1,Abundantia,Abundantia,"aus OCRE",NULL,NULL,http://thesauri.dainst.org/de/labels/_2954_dda8d5222699ed48bac6170d657ff3c3-l7.html,NULL,NULL,Female,Deities,Roman,Personification,NULL
2,Actaeon,Aktaion,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q208531,NULL,NULL,Male,MythologicalFigures,Greek,NULL,NULL
3,Aemilian,Aemilianus,"aus OCRE",NULL,NULL,http://nomisma.org/id/aemilian,NULL,823,Male,Human,Emperor,BarracksEmperors,NULL
4,Aeneas,Aeneas,"aus CN Erweiterung",NULL,NULL,https://www.britishmuseum.org/collection/term/BIOG56894,NULL,NULL,Male,MythologicalFigures,Roman,NULL,NULL
5,Aequitas,Aequitas,"aus OCRE",Equitas,NULL,https://www.wikidata.org/wiki/Q381061,NULL,NULL,Female,Deities,Roman,Personification,NULL
6,Aesculapius,Äskulap,"aus OCRE",NULL,NULL,https://www.wikidata.org/wiki/Q83223,Asclepius,NULL,Male,Deities,Roman,Other,NULL
7,Africa,Africa,"aus OCRE",NULL,NULL,http://thesauri.dainst.org/de/labels/_2731_fad6ec69ac315c4f27270814c5e6d73c-l13.html,NULL,NULL,Female,Deities,Roman,Personification,NULL
8,Agrippa,"Marcus Vipsanius Agrippa","aus OCRE",NULL,NULL,http://nomisma.org/id/agrippa,NULL,743,Male,Human,EmperorsFamily,Julio-ClaudianDynasty,NULL
9,"Agrippina maior","Agrippina Maior","maior = die Ältere","Agrippina the Elder,  agrippina_i",NULL,http://nomisma.org/id/agrippina_i,NULL,313,Female,Human,Emperor,Julio-ClaudianDynasty,NULL
10,"Agrippina minor","Agrippina (minor)","minor = die Jüngere","Agrippina the Younger, agrippina_ii",NULL,http://nomisma.org/id/agrippina_ii,NULL,738,Female,Human,Emperor,Julio-ClaudianDynasty,NULL
11,Alamannia,Alamannia,"aus OCRE",NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Alamannia_person,NULL,NULL,Female,Deities,Roman,Personification,NULL
12,"Alexander III","Alexander der Große","der Große","Alexander the Great,  Alexander III.",NULL,http://nomisma.org/id/alexander_iii,NULL,11,Male,Human,King,Hellenistic,ArgeadDynasty
13,Alexandria,Alexandria,"aus OCRE",NULL,NULL,http://thesauri.dainst.org/de/labels/_2944_7c5d819a73f278e6c204700942e6e331-l15.html,NULL,NULL,Female,Deities,Roman,Personification,NULL
14,Allectus,Allectus,"aus OCRE",NULL,NULL,http://nomisma.org/id/allectus,NULL,NULL,Male,Human,Emperor,Ursurper,NULL
15,Anchialos,Anchialos,NULL,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/anchialos_person,NULL,NULL,Male,Heroes,CityFounder,NULL,NULL
16,Anchises,Anchises,"aus CN Erweiterung",NULL,NULL,https://www.britishmuseum.org/collection/term/BIOG56951,NULL,NULL,Male,MythologicalFigures,NULL,NULL,NULL
17,Androclus,Androklos,NULL,Androklos,NULL,https://www.wikidata.org/wiki/Q512545,NULL,NULL,Male,NULL,NULL,NULL,NULL
18,Andromeda,Andromeda,NULL,NULL,NULL,https://www.britishmuseum.org/collection/term/BIOG56953,NULL,NULL,Female,MythologicalFigures,NULL,NULL,NULL
19,Annona,Annona,"aus OCRE",NULL,NULL,https://www.wikidata.org/wiki/Q581656,NULL,NULL,Female,Deities,Roman,Personification,NULL
20,Anthemius,Anthemius,"aus OCRE",NULL,NULL,http://nomisma.org/id/anthemius,NULL,NULL,Male,Human,Emperor,NULL,NULL
21,Antinous,Antinoos,"aus CN Erweiterung",NULL,NULL,https://www.britishmuseum.org/collection/term/BIOG56964,NULL,697,Male,Human,NULL,NULL,NULL
22,"Antiochus I Soter","Antiochos I. Soter","Soter = der Retter","Antiochus I. Soter",NULL,http://nomisma.org/id/antiochus_i,NULL,37,Male,Human,King,Hellenistic,Seleucides
23,"Antiochus II Theos","Antiochos II. Theos","Theos = der Gott","Antiochus II. Theos",NULL,https://www.britishmuseum.org/collection/term/BIOG86258,NULL,39,Male,Human,King,Hellenistic,Seleucides
24,"Antonia Minor","Antonia Minor","aus OCRE","Julia Antonia Minor,  Antonia the Younger,  Antonia,  antonia_minor",NULL,http://nomisma.org/id/antonia_minor,NULL,NULL,Female,Human,EmperorsFamily,Julio-ClaudianDynasty,NULL
25,"Antoninus Pius","Antoninus Pius","Pius = der Fromme","Antoninus,  antoninus_pius",NULL,http://nomisma.org/id/antoninus_pius,NULL,73,Male,Human,Emperor,AntonineDynasty,NULL
