value,link
Abundantia,http://thesauri.dainst.org/de/labels/_2954_dda8d5222699ed48bac6170d657ff3c3-l7.html
Actaeon,https://www.wikidata.org/wiki/Q208531
aelia_eudoxia,http://nomisma.org/id/aelia_eudoxia
aelia_pulcheria,http://nomisma.org/id/aelia_pulcheria
aelia_verina,http://nomisma.org/id/aelia_verina
Aemilian,http://nomisma.org/id/aemilian
Aeneas,https://www.britishmuseum.org/collection/term/BIOG56894
Aequitas,https://www.wikidata.org/wiki/Q381061
Aesculapius,https://www.wikidata.org/wiki/Q83223
Africa,http://thesauri.dainst.org/de/labels/_2731_fad6ec69ac315c4f27270814c5e6d73c-l13.html
Agrippa,http://nomisma.org/id/agrippa
"Agrippina maior",http://nomisma.org/id/agrippina_i
"Agrippina minor",http://nomisma.org/id/agrippina_ii
"Agrippina the Elder",http://nomisma.org/id/agrippina_i
"Agrippina the Younger",http://nomisma.org/id/agrippina_ii
agrippina_i,http://nomisma.org/id/agrippina_i
agrippina_ii,http://nomisma.org/id/agrippina_ii
Alamannia,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Alamannia_person
"Alexander III",http://nomisma.org/id/alexander_iii
"Alexander III.",http://nomisma.org/id/alexander_iii
"Alexander the Great",http://nomisma.org/id/alexander_iii
Alexandria,http://thesauri.dainst.org/de/labels/_2944_7c5d819a73f278e6c204700942e6e331-l15.html
Allectus,http://nomisma.org/id/allectus
Anchialos,http://www.dbis.cs.uni-frankfurt.de/cnt/id/anchialos_person
Anchises,https://www.britishmuseum.org/collection/term/BIOG56951
Androclus,https://www.wikidata.org/wiki/Q512545
Androklos,https://www.wikidata.org/wiki/Q512545
Andromeda,https://www.britishmuseum.org/collection/term/BIOG56953
Annona,https://www.wikidata.org/wiki/Q581656
Anthemius,http://nomisma.org/id/anthemius
Antinous,https://www.britishmuseum.org/collection/term/BIOG56964
"Antiochus I Soter",http://nomisma.org/id/antiochus_i
"Antiochus I. Soter",http://nomisma.org/id/antiochus_i
"Antiochus II Theos",https://www.britishmuseum.org/collection/term/BIOG86258
"Antiochus II. Theos",https://www.britishmuseum.org/collection/term/BIOG86258
Antonia,http://nomisma.org/id/antonia_minor
"Antonia Minor",http://nomisma.org/id/antonia_minor
"Antonia the Younger",http://nomisma.org/id/antonia_minor
antonia_minor,http://nomisma.org/id/antonia_minor
Antoninus,http://nomisma.org/id/antoninus_pius
"Antoninus Pius",http://nomisma.org/id/antoninus_pius
antoninus_pius,http://nomisma.org/id/antoninus_pius
Anubis,https://www.britishmuseum.org/collection/term/BIOG52823
Aphrodite,https://www.wikidata.org/wiki/Q35500
Apis,https://www.wikidata.org/wiki/Q208150
Apollo,https://www.britishmuseum.org/collection/term/BIOG56988
"Apollo Citharede",https://www.britishmuseum.org/collection/term/BIOG56988
"Apollo Citharoedus",https://www.britishmuseum.org/collection/term/BIOG56988
"Apollo Karinos",https://www.britishmuseum.org/collection/term/BIOG56988
"Apollo Sauroctonos",https://www.britishmuseum.org/collection/term/BIOG56988
