value,link
acorn,https://www.wikidata.org/wiki/Q3914781
apple,https://www.wikidata.org/wiki/Q89
"apple tree",https://www.wikidata.org/wiki/Q60458657
"apple trees",https://www.wikidata.org/wiki/Q60458657
apples,https://www.wikidata.org/wiki/Q89
barley,https://www.wikidata.org/wiki/Q61665121
berries,https://www.wikidata.org/wiki/Q13184
berry,https://www.wikidata.org/wiki/Q13184
branch,https://www.wikidata.org/wiki/Q2923673
branches,https://www.wikidata.org/wiki/Q2923673
cloverleaf,https://www.wikidata.org/wiki/Q101538
cloverleaves,https://www.wikidata.org/wiki/Q101538
confers,https://www.wikidata.org/wiki/Q132825
conifer,https://www.wikidata.org/wiki/Q132825
corn,https://www.wikidata.org/wiki/Q11575
ear,https://www.wikidata.org/wiki/Q147398
ears,https://www.wikidata.org/wiki/Q147398
"ears of corn",https://www.wikidata.org/wiki/Q11575
flower,https://www.wikidata.org/wiki/Q886167
flowers,https://www.wikidata.org/wiki/Q886167
fruit,https://www.wikidata.org/wiki/Q3314483
fruits,https://www.wikidata.org/wiki/Q3314483
grain,https://www.wikidata.org/wiki/Q2995529
"grain ear",https://www.wikidata.org/wiki/Q2995529
"grain wreath",https://www.wikidata.org/wiki/Q2995529
grains,https://www.wikidata.org/wiki/Q2995529
grape,https://www.wikidata.org/wiki/Q10978
grapes,https://www.wikidata.org/wiki/Q10978
grapevine,https://www.wikidata.org/wiki/Q917284
grapevines,https://www.wikidata.org/wiki/Q917284
ivy,https://www.wikidata.org/wiki/Q26771
laurel,https://www.wikidata.org/wiki/Q26006
"laurel tree",https://www.wikidata.org/wiki/Q26006
"laurel trees",https://www.wikidata.org/wiki/Q26006
leaf,https://www.wikidata.org/wiki/Q33971
leaves,https://www.wikidata.org/wiki/Q33971
loti,https://www.wikidata.org/wiki/Q3645698
lotus,https://www.wikidata.org/wiki/Q3645698
oak,https://www.wikidata.org/wiki/Q12004
oaks,https://www.wikidata.org/wiki/Q12004
olive,https://www.wikidata.org/wiki/Q37083
olives,https://www.wikidata.org/wiki/Q37083
palm,https://www.wikidata.org/wiki/Q2709536
"palm branch",https://www.wikidata.org/wiki/Q2923673
"palm branches",https://www.wikidata.org/wiki/Q2923673
"palm leaf",https://www.wikidata.org/wiki/Q2709536
"palm tree",https://www.wikidata.org/wiki/Q2709536
"palm trees",https://www.wikidata.org/wiki/Q2709536
palmette,https://www.wikidata.org/wiki/Q677655
palmettes,https://www.wikidata.org/wiki/Q677655
palms,https://www.wikidata.org/wiki/Q2709536
plant,https://www.wikidata.org/wiki/Q756
plants,https://www.wikidata.org/wiki/Q756
poppies,https://www.wikidata.org/wiki/Q967457
poppy,https://www.wikidata.org/wiki/Q967457
reed,https://www.wikidata.org/wiki/Q2734060
"reed branch",https://www.wikidata.org/wiki/Q2734060
"reed branches",https://www.wikidata.org/wiki/Q2734060
rose,https://www.wikidata.org/wiki/Q34687
roses,https://www.wikidata.org/wiki/Q34687
stalk,https://www.wikidata.org/wiki/Q10289985
stalks,https://www.wikidata.org/wiki/Q10289985
starflower,https://www.wikidata.org/wiki/Q147075
starflowers,https://www.wikidata.org/wiki/Q147075
"stump of tree",https://www.wikidata.org/wiki/Q811646
"stumps of trees",https://www.wikidata.org/wiki/Q811646
thorn,https://www.wikidata.org/wiki/Q201851
thorns,https://www.wikidata.org/wiki/Q201851
tree,https://www.wikidata.org/wiki/Q10884
"tree branch",https://www.wikidata.org/wiki/Q2923673
"tree branches",https://www.wikidata.org/wiki/Q2923673
trees,https://www.wikidata.org/wiki/Q10884
trunk,https://www.wikidata.org/wiki/Q811646
trunks,https://www.wikidata.org/wiki/Q811646
vine,https://www.wikidata.org/wiki/Q917284
vines,https://www.wikidata.org/wiki/Q917284
wheat,https://www.wikidata.org/wiki/Q3966720
"wheat ear",https://www.wikidata.org/wiki/Q3966720
"wheat ears",https://www.wikidata.org/wiki/Q3966720
