id,name_en,name_ger,alternativenames_en,alternativenames_ger,link
1,holding,halten,"ploughing,  removing, covering,  containing,  brandishing,  carrying,  forming,  raising,  cradling,  touching,  drawing"," erhebend,  fassend,  ausgießend,  festhalten,  ausgestreckt,  würgend,  ziehend,  spannend,  hängt,  drückend,  stemmend,  schwingend,  ausholend,  entfernend,  herführend,  schleudernd,  spielend, tragend, schulternd",https://www.wikidata.org/wiki/Q108951109
2,seated_on,sitzen,"seated,  throning,  galloping,  riding_on,  sitting,  galopping, riding"," thronend,  galopierend,  reitend,  setzend,  gallopierend",https://www.wikidata.org/wiki/Q1144593
3,resting_on,stützen,"reclining,  reclining_on,  setting,  leaning,  leaning_on,  resting"," lagernd,  aufgestützt,  liegend,  lehnend,  abstützend",https://www.wikidata.org/wiki/Q17554390
4,feeding,füttern,NULL,,https://www.wikidata.org/wiki/Q17550579
5,standing,stehen,"standing within, standing on"," fahrend,  tretend",https://www.wikidata.org/wiki/Q1986098
6,coiling,winden,"curling, creeping"," ringelnd,  umwunden,  emporringelnd, umschlingen, umschlingend",https://www.wikidata.org/wiki/Q770007
7,lying,liegen,NULL,,https://www.wikidata.org/wiki/Q2268776
8,advancing,schreiten,"walking, passing, running, charging"," laufen",http://www.dbis.cs.uni-frankfurt.de/cnt/id/advancing
9,swimming,schwimmen,NULL,,https://www.wikidata.org/wiki/Q6388
10,extending,strecken,NULL," vorstrecken,  hervorstreckend,  hervorgestreckt",http://www.dbis.cs.uni-frankfurt.de/cnt/id/extending
11,receiving,empfangen,NULL,,https://www.wikidata.org/wiki/Q115088817
12,prancing,springen,"leaping, jumping",,https://www.wikidata.org/wiki/Q97331354
13,flying,fliegen,NULL,,https://www.wikidata.org/wiki/Q206021
14,releasing,befreit,NULL,befreien?,https://www.wikidata.org/wiki/Q110560444
15,crowning,bekränzen,NULL,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/crowning
16,grasping,packen,"clasping, pushing"," fassen,  würgen",https://www.wikidata.org/wiki/Q5597405
17,kneeling,knien,scooping," geduckt",https://www.wikidata.org/wiki/Q8866546
18,crossing,kreuzen,NULL,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/crossing
19,breaking,brechen,NULL,,https://www.wikidata.org/wiki/Q992067
20,turning,drehen,NULL,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/turning
21,sailing,NULL,NULL,,https://www.wikidata.org/wiki/Q192520
22,"escorted by",NULL,NULL,,https://www.wikidata.org/wiki/Q3821546
23,wearing,NULL,NULL,,https://www.wikidata.org/wiki/Q13128864
